Name,MS,BNS,MGF,LM
GRB130104721,9.643e-01,3.541e-02,2.873e-04,1.732e-10
GRB130106829,8.393e-01,1.592e-01,1.507e-03,1.393e-09
GRB130106995,9.660e-01,3.397e-02,7.863e-06,1.267e-11
GRB130109206,9.060e-01,9.338e-02,6.445e-04,3.709e-07
GRB130112286,1.000e+00,1.102e-05,4.930e-08,1.685e-06
GRB130112353,8.783e-01,1.216e-01,3.077e-05,1.208e-11
GRB130114019,7.877e-01,2.094e-01,2.923e-03,1.007e-08
GRB130115716,8.235e-01,1.745e-01,1.935e-03,2.379e-09
GRB130116415,7.527e-01,2.410e-01,6.352e-03,3.443e-09
GRB130117087,4.945e-01,5.053e-01,1.451e-04,6.047e-11
GRB130118482,7.888e-01,2.085e-01,2.737e-03,3.361e-09
GRB130121835,1.000e+00,8.880e-10,9.061e-12,5.797e-16
GRB130123843,6.857e-01,3.105e-01,3.893e-03,2.240e-09
GRB130127299,8.804e-01,1.188e-01,8.786e-04,7.792e-10
GRB130127743,1.075e-01,5.045e-01,3.880e-01,1.132e-10
GRB130131511,9.990e-01,9.534e-04,3.733e-07,1.287e-13
GRB130204484,1.254e-01,5.194e-01,3.551e-01,1.102e-10
GRB130206482,8.213e-01,1.768e-01,1.990e-03,1.639e-08
GRB130206817,9.378e-01,6.183e-02,3.981e-04,2.987e-10
GRB130208684,5.590e-01,4.403e-01,7.270e-04,4.786e-10
GRB130209961,9.983e-01,1.656e-03,1.361e-11,1.100e-17
GRB130213905,7.971e-01,2.003e-01,2.569e-03,3.685e-09
GRB130214137,8.096e-01,1.880e-01,2.320e-03,3.249e-09
GRB130214800,8.115e-01,1.862e-01,2.230e-03,5.176e-09
GRB130215063,1.000e+00,0.000e+00,0.000e+00,0.000e+00
GRB130215649,9.997e-01,3.413e-04,3.534e-06,1.688e-14
GRB130216790,9.423e-01,5.731e-02,3.501e-04,8.224e-08
GRB130216927,9.928e-01,7.222e-03,2.639e-05,7.529e-11
GRB130217688,6.831e-01,3.150e-01,1.912e-03,1.209e-09
GRB130218261,9.647e-01,3.506e-02,2.045e-04,9.993e-11
GRB130219197,9.995e-01,4.600e-04,6.509e-07,4.550e-13
GRB130219626,1.080e-01,8.310e-01,6.103e-02,9.641e-11
GRB130219775,1.000e+00,2.394e-05,1.637e-08,1.344e-13
GRB130220964,1.115e-02,5.223e-11,8.469e-12,9.889e-01
GRB130224370,8.940e-01,1.050e-01,9.970e-04,6.157e-10
GRB130228111,9.985e-01,1.544e-03,4.734e-06,1.810e-12
GRB130228212,9.986e-01,1.348e-03,1.680e-05,1.984e-13
GRB130304410,9.666e-01,3.317e-02,2.110e-04,1.700e-10
GRB130304658,9.637e-01,3.605e-02,2.518e-04,1.692e-10
GRB130305486,9.905e-01,1.244e-03,8.225e-03,5.079e-09
GRB130305526,8.620e-01,1.368e-01,1.221e-03,1.099e-09
GRB130306991,8.696e-01,1.303e-01,1.822e-04,1.303e-08
GRB130307126,1.347e-02,9.351e-01,5.140e-02,5.173e-12
GRB130307238,9.677e-01,3.209e-02,1.697e-04,9.040e-11
GRB130310840,1.000e+00,2.622e-05,2.288e-08,3.960e-13
GRB130314147,8.698e-01,1.290e-01,1.173e-03,1.083e-09
GRB130318456,9.728e-01,2.704e-02,1.948e-04,1.299e-10
GRB130320560,9.995e-01,5.003e-04,2.647e-06,9.403e-13
GRB130324042,8.413e-01,1.571e-01,1.617e-03,1.655e-09
GRB130325005,3.024e-01,5.850e-01,1.126e-01,5.205e-10
GRB130325203,1.000e+00,2.944e-06,1.189e-08,5.442e-08
GRB130327350,1.000e+00,2.775e-05,1.471e-07,4.497e-12
GRB130331566,8.533e-01,1.453e-01,1.414e-03,1.234e-09
GRB130403866,8.464e-01,1.523e-01,1.385e-03,1.398e-09
GRB130404428,2.707e-01,7.292e-01,5.527e-05,1.589e-11
GRB130404840,9.992e-01,7.768e-04,3.389e-06,4.276e-09
GRB130404877,2.985e-01,6.159e-01,8.564e-02,4.613e-10
GRB130406288,9.999e-01,7.625e-05,3.218e-07,7.566e-11
GRB130406334,8.699e-01,1.290e-01,1.041e-03,1.127e-09
GRB130406354,7.373e-01,2.587e-01,4.006e-03,2.997e-09
GRB130407800,8.369e-01,1.614e-01,1.642e-03,1.775e-09
GRB130408653,7.856e-01,2.115e-01,2.819e-03,1.613e-08
GRB130409960,9.974e-01,2.613e-03,5.712e-06,2.612e-12
GRB130416690,7.899e-01,2.078e-01,2.232e-03,2.150e-09
